Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
ZYAP6N76H,17.0,307557340576706.0,307557340576706.0,0.0,ぬわぁんでよぉ,,,,KXMPLAX04,14.0,359186714402366.0
WCN6J32TG,23.0,298289860978298.0,298289860978298.0,0.0,さゆりんのほっぺ,,,,VCYWGAUP5,131.0,261963478181928.0
U7NEBV4KH,35.0,286526421498323.0,286526421498323.0,0.0,こーど,,,,6VAVCA9BY,11.0,366650879078398.0
TKLRD66RN,44.0,280057926114205.0,351465127243902.0,71407201129697.0,頭ハッピー至上主,,,,TKLRD66RN,18.0,351465127243902.0
KXMPLAX04,47.0,278493956889774.0,359186714402366.0,80692757512592.0,ろーぱす,,,,91HY4FXBS,296.0,216462613731423.0
W6KGEJ697,57.0,271725942520829.0,271725942520829.0,0.0,まだまだお,,,,5LL48ARPU,8.0,379240264883763.0
HVA8EZJWM,60.0,270024490892339.0,315714699076715.0,45690208184376.0,鍋,,,,U7NEBV4KH,81.0,286526421498323.0
HY934N56T,64.0,266349380315513.0,266349380315513.0,0.0,インフィニット,,,,W6KGEJ697,102.0,271725942520829.0
VGWT7LCX7,66.0,265642533132522.0,265642533132522.0,0.0,ZUC,,,,DV73OQD94,133.0,261323754021232.0
U1IQYBNI5,71.0,264976232726248.0,264976232726248.0,0.0,通りすがりの人,,,,W4E0R6NA9,166.0,247990455133449.0
69B4P3TW1,72.0,264653126571333.0,264653126571333.0,0.0,ルアルディ,,,,L6HBG7C3L,139.0,257469165394229.0
NY9X4SWNC,75.0,264211481879991.0,264211481879991.0,0.0,くりマロン,,,,HVA8EZJWM,39.0,315714699076715.0
VCYWGAUP5,83.0,261963478181928.0,261963478181928.0,0.0,さくのえびふらい,,,,TXTPD6OZ9,67.0,293200773158664.0
6VAVCA9BY,84.0,261806169249838.0,366650879078398.0,104844709828560.0,oinari3,,,,M8KSSVGQS,186.0,242136259482687.0
DV73OQD94,85.0,261323754021232.0,261323754021232.0,0.0,ちゆ,,,,4L6ELEBZY,206.0,236246873092375.0
5LL48ARPU,89.0,258642822456007.0,379240264883763.0,120597442427756.0,シュウ,,,,MY9GFUXVC,159.0,250548664095928.0
L6HBG7C3L,91.0,257469165394229.0,257469165394229.0,0.0,あまらく@,,,,ZYAP6N76H,47.0,307557340576706.0
S1JO65QZU,97.0,252687462416618.0,294224048991576.0,41536586574958.0,すと。,,,,V7YLMH2IY,161.0,248664176956536.0
MY9GFUXVC,106.0,250548664095928.0,250548664095928.0,0.0,きっくー,,,,VGWT7LCX7,111.0,265642533132522.0
V7YLMH2IY,107.0,248664176956536.0,248664176956536.0,0.0,始まりは君の空,,,,HY934N56T,109.0,266349380315513.0
W4E0R6NA9,113.0,247990455133449.0,247990455133449.0,0.0,始まりは君の空,,,,69B4P3TW1,117.0,264653126571333.0
M8KSSVGQS,128.0,242136259482687.0,242136259482687.0,0.0,名もないキモチ,,,,U1IQYBNI5,116.0,264976232726248.0
4L6ELEBZY,147.0,236246873092375.0,236246873092375.0,0.0,私を叶える物語,,,,838S79KWG,219.0,233207628360398.0
70NE2637U,152.0,234079926389238.0,234079926389238.0,0.0,りふいっと,,,,ME00V6X4B,222.0,232704765289325.0
838S79KWG,156.0,233207628360398.0,233207628360398.0,0.0,紅蓮の破壊神,,,,WCN6J32TG,56.0,298289860978298.0
ME00V6X4B,158.0,232704765289325.0,232704765289325.0,0.0,オラトニス,,,,ROKS5RRX4,55.0,299196127218770.0
RV0TDDA7D,159.0,231771598879638.0,231771598879638.0,0.0,閃耀百變怪,,,,S1JO65QZU,64.0,294224048991576.0
ROKS5RRX4,207.0,218947496083242.0,299196127218770.0,80248631135528.0,れんこん,,,,RV0TDDA7D,224.0,231771598879638.0
91HY4FXBS,223.0,216462613731423.0,216462613731423.0,0.0,なぎのおみあし,,,,NY9X4SWNC,121.0,264211481879991.0
TXTPD6OZ9,322.0,194948465935810.0,293200773158664.0,98252307222854.0,stella,,,,70NE2637U,210.0,234079926389238.0
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,x,,,
